0,"{'func name': 'get_versions', 'comments': 'Get version information or return default if unable to do so.\n\n\n', 'stemmed comments': ['inform', 'default', 'unabl', 'return', 'version', 'get']}"
1,"{'func name': 'bilinear_upsampling', 'comments': 'Compute bilinear upsampling This function will build the symbolic graph for upsampling a tensor by the given ratio using bilinear interpolation.\n\nParameters ---------- input: symbolic 4D tensor mini-batch of feature map stacks, of shape (batch size, input channels, input rows, input columns) that will be upsampled. ratio: `int or Constant or Scalar Tensor of int* dtype` the ratio by which the input is upsampled in the 2D space (row and col size). frac_ratio: None, tuple of int or tuple of tuples of int The tuple defining the fractional ratio by which the input is upsampled in the 2D space. One fractional ratio should be represented as (numerator, denominator). If row and col ratios are different frac_ratio should be a tuple of fractional ratios, i.e a tuple of tuples. use_1D_kernel: bool if set to true, row and column will be upsampled separately by 1D kernels, otherwise they are upsampled together using a 2D kernel. The final result is the same, only the speed can differ, given factors such as upsampling ratio.\n##### Returns\n* ****: note\n\n', 'stemmed comments': ['graph', 'bilinear', 'shape', 'defin', 'one', 'col', 'differ', 'tensor', 'bool', 'return', 'row', 'paramet', 'final', 'numer', 'use', 'ratio', 'ie', 'channel', 'togeth', 'set', 'map', 'input', '2D', 'space', 'featur', 'the', 'use_1d_kernel', 'build', 'frac_ratio', 'true', 'If', 'thi', 'upsampl', 'otherwis', 'result', 'note', '4D', 'minibatch', 'symbol', 'comput', 'given', 'stack', 'dtype', 'tupl', 'fraction', 'factor', '1D', 'function', 'batch', 'none', 'denomin', 'column', 'speed', 'separ', 'constant', 'int', 'scalar', 'kernel', 'repres', 'size', 'interpol']}"
2,"{'func name': 'profile_printer', 'comments': '', 'stemmed comments': []}"
3,"{'func name': 'theano_dtype', 'comments': '', 'stemmed comments': []}"
4,"{'func name': 'handle_composite', 'comments': '', 'stemmed comments': []}"
5,"{'func name': 'dot', 'comments': 'Operation for efficiently calculating the dot product when one or all operands is sparse. Supported format are CSC and CSR. The output of the operation is dense.\n\nParameters ---------- x Sparse or dense matrix variable. y Sparse or dense matrix variable.\n##### Returns\n', 'stemmed comments': ['one', 'csr', 'support', 'dot', 'return', 'paramet', 'x', 'effici', 'format', 'calcul', 'matrix', 'the', 'dens', 'csc', 'product', 'oper', 'operand', 'spars', 'variabl', 'output']}"
6,"{'func name': 'choose', 'comments': 'Construct an array from an index array and a set of arrays to choose from.\n\nFirst of all, if confused or uncertain, definitely look at the Examples\n\n- in its full generality, this function is less simple than it might seem from the following code description (below ndi = numpy.lib.index_tricks):\n\nnp.choose(a,c) == np.array([c[a[I]][I] for I in ndi.ndindex(a.shape)]).\n\nBut this omits some subtleties. Here is a fully general summary:\n\nGiven an ``index`` array (a) of integers and a sequence of n arrays (choices), a and each choice array are first broadcast, as necessary, to arrays of a common shape; calling these Ba and Bchoices[i], i = 0,...,n-1 we have that, necessarily, Ba.shape == Bchoices[i].shape for each i. Then, a new array with shape Ba.shape is created as follows:\n\n- if mode=raise (the default), then, first of all, each element of a (and thus Ba) must be in the range [0, n-1]; now, suppose that i (in that range) is the value at the (j0, j1, ..., jm) position in Ba\n\n- then the value at the same position in the new array is the value in Bchoices[i] at that same position;\n\n- if mode=wrap, values in a (and thus Ba) may be any (signed) integer; modular arithmetic is used to map integers outside the range [0, n-1] back into that range; and then the new array is constructed as above;\n\n- if mode=clip, values in a (and thus Ba) may be any (signed) integer; negative integers are mapped to 0; values greater than n-1 are mapped to n-1; and then the new array is constructed as above.\n\nParameters ---------- a : int array This array must contain integers in [0, n-1], where n is the number of choices, unless mode=wrap or mode=clip, in which cases any integers are permissible. choices : sequence of arrays Choice arrays. a and all of the choices must be broadcastable to the same shape. If choices is itself an array (not recommended), then its outermost dimension (i.e., the one corresponding to choices.shape[0]) is taken as defining the ``sequence``. out : array, optional If provided, the result will be inserted into this array. It should be of the appropriate shape and dtype. mode : {``raise`` (default), ``wrap``, ``clip``}, optional Specifies how indices outside [0, n-1] will be treated: ``raise`` : an exception is raised ``wrap`` : value becomes value mod n ``clip`` : values < 0 are mapped to 0, values > n-1 are mapped to n-1\n##### Returns\n', 'stemmed comments': ['I', 'must', 'defin', 'back', 'may', 'return', 'outsid', 'might', 'arithmet', 'specifi', 'valu', 'exampl', 'creat', 'descript', 'clip', 'If', 'sequenc', 'bchoic', 'suppos', 'summari', '{', 'dtype', 'new', 'function', 'broadcast', 'element', 'wrap', 'taken', 'nparray', 'gener', 'default', 'definit', 'follow', 'j0', 'jm', 'c', 'choic', 'common', 'simpl', 'rais', 'bashap', 'set', 'mode=rais', 'map', '==', 'thu', 'modular', 'code', 'result', 'integ', 'sign', '}', '<', 'necessari', 'ndindindex', 'confus', 'number', 'ndi', 'It', ']', 'outermost', 'less', 'numpylibindex_trick', 'index', 'contain', 'shape', 'dimens', 'appropri', 'seem', 'ie', 'greater', 'unless', 'posit', 'construct', 'provid', 'look', 'j1', 'thi', 'given', 'Ba', 'except', 'mod', 'n1', 'ashap', '[', 'fulli', 'choicesshap', 'full', 'necessarili', '=', 'then', 'insert', 'mode=wrap', 'subtleti', 'mode', 'call', 'one', 'becom', 'mode=clip', 'case', 'omit', 'uncertain', 'paramet', ';', 'correspond', '>', 'use', 'recommend', 'permiss', 'treat', 'n', 'array', 'indic', 'choos', 'here', 'first', '0', 'rang', 'option', 'npchoos', 'neg', 'int', 'but']}"
7,"{'func name': 'make_c_gemv_destructive', 'comments': '', 'stemmed comments': []}"
8,"{'func name': '____gemm_code', 'comments': '', 'stemmed comments': []}"
9,"{'func name': 'make_ger_destructive', 'comments': '', 'stemmed comments': []}"
